year,genre_name,metacritic_avg,rating_avg,discrepancy_score,game_count
1980,Arcade,62.0,4.07,1.48,1
1983,Action,54.0,3.85,1.72,1
1985,Action,71.0,3.67,-0.42,1
1986,Action,58.5,2.76,-1.44,2
1988,Action,50.5,3.8,1.94,2
1989,Simulation,64.0,3.62,0.15,1
1989,Fighting,82.0,4.0,-0.7,1
1990,Action,61.0,3.92,1.2,1
1990,Arcade,92.0,4.36,-0.8,1
1990,RPG,70.0,2.14,-4.15,1
1991,Arcade,84.0,4.28,-0.2,1
1991,Action,80.67,4.03,-0.48,3
1992,Action,71.67,4.03,0.41,3
1992,RPG,81.0,4.11,-0.32,2
1993,Adventure,58.0,4.12,1.99,2
1993,Platformer,60.0,4.0,1.5,1
1993,Action,64.38,4.09,1.28,8
1994,Adventure,81.0,4.45,0.52,1
1994,Action,76.75,4.16,0.23,4
1994,Strategy,81.0,4.23,-0.02,1
1994,RPG,86.5,4.16,-0.76,2
1995,Action,51.33,3.63,1.44,3
1995,RPG,69.0,4.15,0.96,2
1995,Fighting,75.5,4.21,0.48,2
1995,Adventure,86.0,4.38,-0.15,1
1995,Strategy,90.5,4.34,-0.71,2
1995,Platformer,91.0,4.32,-0.8,1
1995,Arcade,69.0,3.17,-1.48,1
1996,Adventure,69.5,4.06,0.7,2
1996,Strategy,87.5,4.29,-0.52,2
1996,Racing,87.5,4.21,-0.72,2
1996,RPG,77.5,3.78,-0.79,2
1996,Platformer,94.0,4.4,-0.9,1
1996,Action,87.5,4.08,-1.06,10
1996,Sports,72.0,3.43,-1.12,1
1997,RPG,74.33,4.19,0.53,3
1997,Adventure,75.29,4.06,0.13,7
1997,Strategy,84.5,4.31,-0.18,2
1997,Action,77.47,3.92,-0.44,15
1997,Racing,85.0,4.22,-0.46,3
1997,Shooter,96.0,4.36,-1.2,1
1997,Fighting,87.67,3.94,-1.42,3
1998,Adventure,66.33,4.23,1.44,3
1998,Strategy,75.5,4.24,0.55,2
1998,RPG,84.0,4.37,0.02,6
1998,Board Games,79.0,4.09,-0.18,1
1998,Action,83.75,4.07,-0.71,20
1998,Racing,87.0,4.16,-0.79,3
1999,Arcade,67.0,4.07,0.98,1
1999,Sports,86.0,4.35,-0.22,2
1999,Simulation,77.0,3.94,-0.35,1
1999,Action,78.77,3.95,-0.51,26
1999,RPG,83.4,4.11,-0.56,10
1999,Racing,89.67,4.3,-0.72,3
1999,Strategy,85.2,4.05,-0.91,5
1999,Adventure,79.75,3.64,-1.38,4
1999,Platformer,90.0,4.0,-1.5,1
2000,Arcade,60.67,3.85,1.05,3
2000,Board Games,74.0,4.07,0.28,1
2000,Platformer,72.5,3.92,0.05,2
2000,Action,74.92,3.92,-0.2,51
2000,Fighting,87.0,4.38,-0.25,1
2000,RPG,81.67,4.16,-0.26,9
2000,Adventure,75.5,3.86,-0.4,2
2000,Simulation,81.17,4.09,-0.4,6
2000,Strategy,78.71,3.93,-0.56,14
2000,Racing,80.25,3.86,-0.88,4
2000,Sports,90.33,4.16,-1.14,3
2000,Shooter,83.5,3.85,-1.23,2
2001,Adventure,72.57,4.18,0.68,7
2001,Arcade,71.0,4.09,0.62,2
2001,Sports,72.0,4.12,0.61,4
2001,RPG,80.44,4.08,-0.34,9
2001,Action,77.23,3.89,-0.5,64
2001,Platformer,79.0,3.95,-0.53,2
2001,Fighting,79.0,3.91,-0.62,1
2001,Strategy,78.36,3.85,-0.72,14
2001,Shooter,88.0,4.22,-0.75,1
2001,Racing,80.67,3.83,-0.98,6
2002,Arcade,62.0,4.04,1.4,1
2002,Board Games,70.0,3.96,0.4,1
2002,Adventure,69.75,3.6,-0.49,8
2002,RPG,76.27,3.84,-0.54,11
2002,Action,77.0,3.83,-0.61,59
2002,Strategy,79.09,3.89,-0.67,11
2002,Racing,78.0,3.77,-0.87,3
2002,Shooter,85.75,4.08,-0.87,4
2002,Platformer,71.0,3.43,-1.02,1
2002,Sports,91.0,4.23,-1.02,1
2002,Simulation,93.0,4.25,-1.18,1
2002,Fighting,81.4,3.69,-1.42,5
2003,Board Games,69.0,4.05,0.72,1
2003,Adventure,68.83,3.7,-0.12,12
2003,Racing,83.6,4.24,-0.25,5
2003,Sports,84.25,4.23,-0.34,4
2003,Strategy,76.0,3.86,-0.44,12
2003,RPG,82.46,4.1,-0.48,13
2003,Arcade,76.75,3.87,-0.49,4
2003,Action,71.36,3.65,-0.5,84
2003,Platformer,82.5,3.98,-0.8,2
2003,Simulation,81.0,3.89,-0.88,1
2003,Family,80.0,3.75,-1.12,1
2003,Shooter,79.25,3.62,-1.38,4
2004,Arcade,57.0,4.03,1.88,3
2004,Platformer,71.67,3.99,0.3,3
2004,Board Games,71.0,3.9,0.15,1
2004,RPG,77.33,4.07,-0.06,12
2004,Adventure,71.8,3.8,-0.17,20
2004,Simulation,78.6,4.04,-0.27,5
2004,Racing,79.8,4.07,-0.3,5
2004,Action,73.94,3.76,-0.48,86
2004,Casual,78.0,3.89,-0.57,1
2004,Strategy,72.8,3.67,-0.61,20
2004,Shooter,79.8,3.92,-0.68,5
2004,Fighting,80.67,3.88,-0.86,3
2004,Sports,82.67,3.89,-1.03,3
2004,Puzzle,74.0,3.4,-1.4,1
2005,Board Games,64.0,3.91,0.88,1
2005,RPG,78.33,4.18,0.11,6
2005,Adventure,73.73,3.89,-0.15,11
2005,Shooter,81.83,4.18,-0.24,6
2005,Action,73.31,3.81,-0.3,98
2005,Casual,86.0,4.28,-0.4,1
2005,Sports,79.4,3.9,-0.7,5
2005,Strategy,76.77,3.78,-0.73,13
2005,Arcade,70.0,3.38,-1.04,2
2005,Racing,79.9,3.68,-1.3,10
2005,Fighting,77.5,3.56,-1.36,2
2005,Simulation,85.33,3.76,-1.62,3
2005,Educational,74.0,3.27,-1.72,1
2005,Platformer,86.0,3.67,-1.92,1
2006,Fighting,71.5,4.16,0.76,2
2006,Educational,67.0,3.97,0.72,1
2006,Simulation,73.8,3.94,-0.02,5
2006,Arcade,73.25,3.91,-0.05,4
2006,RPG,79.58,4.05,-0.32,12
2006,Adventure,69.45,3.63,-0.37,11
2006,Shooter,68.6,3.51,-0.59,5
2006,Action,71.4,3.6,-0.64,87
2006,Racing,80.12,3.95,-0.65,8
2006,Platformer,44.0,2.47,-0.72,1
2006,Strategy,76.21,3.62,-1.06,24
2006,Sports,73.14,3.36,-1.42,7
2006,Casual,71.5,3.08,-1.95,2
2007,Fighting,73.0,4.41,1.23,1
2007,Board Games,67.0,3.84,0.41,2
2007,Family,58.0,3.46,0.35,1
2007,Casual,81.0,4.08,-0.4,3
2007,Arcade,72.43,3.67,-0.57,7
2007,Simulation,63.0,3.27,-0.63,3
2007,Adventure,74.54,3.69,-0.73,13
2007,Action,73.9,3.62,-0.83,89
2007,Sports,74.0,3.55,-1.02,6
2007,Strategy,78.0,3.71,-1.03,23
2007,RPG,76.41,3.64,-1.04,17
2007,Racing,73.33,3.5,-1.08,6
2007,Shooter,75.6,3.51,-1.28,5
2007,Platformer,97.0,4.36,-1.3,1
2008,Arcade,66.4,3.51,-0.36,5
2008,Simulation,76.6,3.87,-0.48,5
2008,Racing,77.91,3.9,-0.53,11
2008,Casual,71.0,3.58,-0.66,4
2008,Shooter,87.2,4.15,-0.85,5
2008,Action,72.16,3.49,-1.0,98
2008,Indie,85.0,3.93,-1.18,1
2008,RPG,78.08,3.63,-1.22,12
2008,Sports,76.2,3.53,-1.3,5
2008,Strategy,74.14,3.42,-1.36,21
2008,Adventure,71.7,3.31,-1.41,23
2009,Arcade,69.67,3.89,0.26,6
2009,Shooter,83.0,4.27,-0.13,2
2009,Action,70.92,3.49,-0.88,154
2009,Racing,77.33,3.72,-0.94,9
2009,Platformer,87.0,4.06,-1.05,1
2009,Adventure,75.65,3.57,-1.13,23
2009,RPG,77.21,3.6,-1.21,24
2009,Simulation,77.25,3.58,-1.27,4
2009,Card,72.0,3.33,-1.38,1
2009,Sports,77.11,3.53,-1.38,9
2009,Strategy,73.61,3.25,-1.75,28
2009,Indie,79.0,3.18,-2.45,1
2009,Casual,74.67,2.64,-3.37,3
2010,Fighting,75.0,3.98,-0.05,2
2010,Arcade,80.5,4.06,-0.4,6
2010,Shooter,79.4,3.95,-0.55,5
2010,Platformer,86.5,4.12,-0.85,4
2010,RPG,76.42,3.7,-0.88,19
2010,Racing,75.75,3.66,-0.93,8
2010,Action,72.79,3.54,-0.94,152
2010,Adventure,73.47,3.56,-0.94,15
2010,Indie,87.0,3.98,-1.25,1
2010,Simulation,65.67,3.05,-1.44,6
2010,Strategy,74.0,3.35,-1.52,32
2010,Sports,74.5,3.35,-1.57,14
2010,Family,82.0,3.3,-2.45,1
2010,Casual,76.67,2.85,-3.04,3
2011,Platformer,83.5,4.11,-0.59,2
2011,Racing,67.3,3.41,-0.7,10
2011,Shooter,82.6,3.89,-1.05,5
2011,Fighting,87.0,4.0,-1.19,2
2011,Action,70.71,3.34,-1.22,173
2011,Simulation,75.14,3.39,-1.54,7
2011,Sports,80.45,3.59,-1.56,11
2011,Family,90.0,3.97,-1.58,1
2011,Adventure,73.69,3.3,-1.61,26
2011,Arcade,71.75,3.2,-1.68,4
2011,Massively Multiplayer,64.0,2.87,-1.72,1
2011,Puzzle,90.0,3.91,-1.72,1
2011,RPG,73.67,3.25,-1.74,15
2011,Strategy,74.71,3.16,-2.07,21
2011,Casual,71.67,2.93,-2.33,3
2011,Indie,55.0,2.11,-2.73,1
2012,Family,77.0,4.12,0.1,1
2012,Casual,82.0,4.27,-0.03,1
2012,Indie,75.0,3.91,-0.22,3
2012,Shooter,63.33,3.39,-0.35,3
2012,Simulation,77.0,3.86,-0.54,3
2012,Arcade,77.44,3.72,-0.94,9
2012,Platformer,78.0,3.73,-0.98,1
2012,Racing,73.71,3.5,-1.11,7
2012,RPG,73.96,3.5,-1.14,23
2012,Adventure,75.33,3.56,-1.15,36
2012,Fighting,84.0,3.84,-1.3,1
2012,Action,70.92,3.31,-1.32,170
2012,Sports,75.82,3.48,-1.38,11
2012,Strategy,74.97,3.31,-1.72,30
2012,Board Games,73.0,3.16,-1.9,1
2013,Puzzle,69.0,4.3,1.35,2
2013,Board Games,61.0,3.64,0.51,2
2013,Fighting,78.0,3.9,-0.56,2
2013,Indie,79.0,3.86,-0.76,4
2013,Simulation,80.67,3.85,-0.94,3
2013,Platformer,89.0,4.16,-1.0,1
2013,Shooter,78.4,3.7,-1.08,5
2013,Arcade,77.88,3.62,-1.22,8
2013,Action,70.45,3.29,-1.32,233
2013,Adventure,74.27,3.44,-1.32,48
2013,RPG,72.31,3.34,-1.38,26
2013,Sports,76.18,3.45,-1.48,11
2013,Casual,72.0,3.24,-1.59,2
2013,Racing,75.67,3.38,-1.61,6
2013,Strategy,70.71,3.15,-1.7,31
2014,Platformer,82.0,4.19,-0.23,2
2014,Puzzle,81.0,4.1,-0.35,1
2014,Indie,83.0,4.14,-0.45,1
2014,Casual,71.67,3.5,-0.91,3
2014,Racing,76.0,3.62,-1.04,6
2014,Simulation,73.62,3.46,-1.21,8
2014,Adventure,71.13,3.35,-1.23,71
2014,Sports,72.6,3.4,-1.26,10
2014,Strategy,72.26,3.34,-1.36,31
2014,RPG,74.17,3.41,-1.4,24
2014,Action,71.49,3.29,-1.43,210
2014,Shooter,75.0,3.4,-1.49,4
2014,Arcade,88.0,3.85,-1.68,1
2014,Educational,67.0,2.97,-1.77,1
2014,Fighting,72.0,2.84,-2.6,1
2015,Casual,76.0,4.38,0.85,1
2015,Platformer,69.5,3.84,0.15,2
2015,Arcade,81.33,4.06,-0.49,3
2015,Massively Multiplayer,65.0,3.3,-0.75,1
2015,Family,86.0,4.13,-0.78,2
2015,Racing,71.0,3.52,-0.81,6
2015,Simulation,71.31,3.45,-0.99,13
2015,RPG,75.76,3.55,-1.2,34
2015,Puzzle,83.0,3.82,-1.25,2
2015,Adventure,71.93,3.37,-1.26,76
2015,Action,72.33,3.33,-1.41,221
2015,Board Games,56.0,2.66,-1.44,2
2015,Strategy,74.74,3.39,-1.5,35
2015,Indie,70.29,3.11,-1.74,7
2015,Shooter,96.0,4.14,-1.75,1
2015,Sports,71.67,3.05,-2.05,12
2015,Fighting,66.0,2.2,-3.6,1
2016,Platformer,81.5,4.06,-0.51,2
2016,Board Games,68.0,3.5,-0.55,1
2016,Simulation,71.83,3.57,-0.76,12
2016,Indie,73.0,3.6,-0.8,5
2016,Casual,75.5,3.58,-1.09,2
2016,Fighting,76.0,3.59,-1.12,1
2016,Racing,72.4,3.44,-1.15,5
2016,RPG,76.75,3.58,-1.23,32
2016,Adventure,73.51,3.43,-1.28,70
2016,Strategy,76.6,3.53,-1.33,30
2016,Action,72.21,3.34,-1.36,252
2016,Arcade,81.0,3.63,-1.52,3
2016,Sports,78.0,3.38,-1.85,7
2017,Puzzle,75.67,4.16,0.34,3
2017,Family,64.5,3.46,-0.31,2
2017,Racing,73.0,3.63,-0.73,8
2017,Board Games,78.25,3.78,-0.89,4
2017,RPG,77.23,3.71,-0.94,30
2017,Shooter,72.33,3.47,-1.06,3
2017,Adventure,75.01,3.54,-1.15,73
2017,Arcade,97.0,4.42,-1.15,1
2017,Action,73.51,3.47,-1.17,197
2017,Fighting,81.33,3.79,-1.17,3
2017,Strategy,75.35,3.47,-1.35,26
2017,Indie,77.5,3.54,-1.39,2
2017,Casual,75.5,3.44,-1.44,2
2017,Simulation,76.7,3.47,-1.49,10
2017,Sports,77.18,3.41,-1.7,11
2018,Puzzle,81.5,4.36,0.26,2
2018,Casual,76.0,4.08,0.1,3
2018,Board Games,76.0,3.82,-0.55,1
2018,RPG,77.55,3.85,-0.64,22
2018,Indie,91.0,4.38,-0.65,1
2018,Adventure,74.41,3.68,-0.73,56
2018,Fighting,93.0,4.37,-0.88,1
2018,Action,72.93,3.55,-0.92,164
2018,Racing,71.86,3.5,-0.94,7
2018,Simulation,74.5,3.58,-1.0,12
2018,Platformer,74.5,3.56,-1.05,2
2018,Strategy,72.92,3.49,-1.06,13
2018,Sports,65.5,3.19,-1.07,8
2019,Casual,68.33,3.92,0.46,3
2019,Indie,81.5,4.28,0.05,2
2019,Puzzle,78.0,4.08,-0.1,1
2019,Massively Multiplayer,83.0,4.27,-0.13,1
2019,Adventure,73.05,3.7,-0.55,57
2019,Platformer,79.5,3.8,-0.95,2
2019,RPG,76.75,3.68,-0.98,12
2019,Strategy,75.57,3.62,-1.01,21
2019,Action,73.26,3.51,-1.04,170
2019,Simulation,67.9,3.3,-1.05,10
2019,Sports,77.86,3.49,-1.56,7
2019,Racing,73.5,3.24,-1.75,6
2020,Puzzle,77.0,4.29,0.52,1
2020,Board Games,82.0,4.12,-0.4,1
2020,Platformer,75.0,3.8,-0.5,1
2020,Arcade,76.0,3.77,-0.68,1
2020,Shooter,72.0,3.59,-0.73,3
2020,Casual,76.0,3.74,-0.74,6
2020,Fighting,69.0,3.37,-0.98,1
2020,RPG,71.55,3.44,-1.05,11
2020,Sports,75.08,3.57,-1.08,12
2020,Adventure,75.31,3.57,-1.12,52
2020,Action,73.17,3.45,-1.19,175
2020,Racing,77.33,3.56,-1.32,6
2020,Simulation,74.71,3.45,-1.35,14
2020,Strategy,74.0,3.42,-1.35,21
2021,Casual,75.0,3.9,-0.24,3
2021,RPG,74.5,3.65,-0.82,6
2021,Adventure,76.15,3.69,-0.89,40
2021,Simulation,65.71,3.21,-1.04,7
2021,Action,74.33,3.55,-1.06,130
2021,Sports,58.5,2.87,-1.18,4
2021,Racing,74.0,3.43,-1.32,1
2021,Strategy,72.0,3.32,-1.4,15
2022,Shooter,38.0,3.0,1.2,1
2022,Casual,74.0,3.92,-0.1,1
2022,Platformer,89.0,4.52,-0.1,1
2022,Sports,78.0,4.08,-0.1,1
2022,Racing,84.0,4.25,-0.28,1
2022,Adventure,74.85,3.79,-0.51,13
2022,Simulation,82.0,3.88,-1.0,1
2022,Action,74.0,3.5,-1.16,51
2022,Indie,73.0,3.43,-1.22,1
2022,RPG,80.25,3.46,-1.88,4
2022,Strategy,73.67,3.14,-2.02,3
2023,Strategy,72.5,3.66,-0.59,2
2023,RPG,90.0,4.31,-0.73,1
2023,Adventure,86.5,4.04,-1.06,4
2023,Action,76.4,3.43,-1.56,15
2024,RPG,80.0,4.18,-0.05,1
